time,tmp,pre,runoff
1917-05-16,11.935829,71.29787,11900.0
1917-06-16,14.592246,187.10161,24100.0
1917-07-16,16.593048,203.26044,37100.0
1917-08-16,16.349464,120.19519,29800.0
1917-09-16,13.270589,101.27674,26100.0
1917-10-16,8.6935835,71.025406,23000.0
1917-11-16,3.2655082,17.084227,13200.0
1917-12-16,-1.6994652,5.41738,6430.0
1918-01-16,-2.915775,5.023797,4400.0
1918-02-15,-0.73770076,10.459358,4150.0
1918-03-16,3.4101605,21.586098,5000.0
1918-04-16,7.6385036,58.916046,9580.0
1918-05-16,12.056417,132.79253,14000.0
1918-06-16,14.065776,128.12808,23800.0
1918-07-16,16.401339,132.19252,26100.0
1918-08-16,15.963102,179.31848,33200.0
1918-09-16,13.275135,141.67621,34100.0
1918-10-16,8.753744,42.26417,20900.0
1918-11-16,2.6104283,21.888235,10700.0
1918-12-16,-1.4922463,12.399199,7540.0
1919-01-16,-2.3491976,4.233958,5250.0
1919-02-15,-0.56390375,11.603743,4590.0
1919-03-16,4.3997326,17.243849,4630.0
1919-04-16,8.335562,53.3476,6180.0
1919-05-16,12.293851,121.76337,8650.0
1919-06-16,14.846256,143.03128,19900.0
1919-07-16,16.475668,162.63263,36800.0
1919-08-16,16.9377,131.11818,25100.0
1919-09-16,12.710428,109.555084,19800.0
1919-10-16,8.341711,52.841446,17900.0
1919-11-16,3.2090912,22.352406,9450.0
1919-12-16,-1.2040106,5.2256684,5800.0
1920-01-16,-1.8323528,9.20615,4190.0
1920-02-15,-1.3609625,11.789841,3750.0
1920-03-16,3.1053476,38.604546,5430.0
1920-04-16,7.592246,37.29465,7300.0
1920-05-16,11.620321,85.38315,14500.0
1920-06-16,14.531284,164.50534,17900.0
1920-07-16,17.090374,154.6853,37500.0
1920-08-16,16.11738,140.45215,30900.0
1920-09-16,13.346256,132.08717,30600.0
1920-10-16,8.7377,72.796524,24700.0
1920-11-16,3.423797,25.857754,10700.0
1920-12-16,-0.7967914,6.321657,6920.0
1921-01-16,-2.230749,7.575669,4680.0
1921-02-15,-0.51577556,8.96417,4360.0
1921-03-16,3.4903743,27.938774,5380.0
1921-04-16,8.525133,50.354015,6720.0
1921-05-16,12.054546,108.84171,15200.0
1921-06-16,14.62647,156.90668,22500.0
1921-07-16,16.779411,178.35616,42700.0
1921-08-16,16.456417,174.18718,33700.0
1921-09-16,12.863101,133.71445,33900.0
1921-10-16,7.9930477,61.402943,24500.0
1921-11-16,2.9794116,14.32246,10400.0
1921-12-16,-0.754278,7.7852945,6320.0
1922-01-16,-2.3056147,3.8002675,4650.0
1922-02-15,0.535829,7.803476,3910.0
1922-03-16,3.8938503,31.13262,3910.0
1922-04-16,8.406417,50.022194,7290.0
1922-05-16,12.669518,83.36604,11800.0
1922-06-16,14.584493,155.73343,17600.0
1922-07-16,17.0123,185.37863,35500.0
1922-08-16,16.579948,167.06711,49200.0
1922-09-16,13.476205,107.26792,23400.0
1922-10-16,8.705882,63.969524,14600.0
1922-11-16,3.0016046,15.877809,9100.0
1922-12-16,-1.2620319,9.021123,4850.0
1923-01-16,-1.87754,5.264171,3800.0
1923-02-15,-0.91657776,10.152674,3580.0
1923-03-16,5.31123,18.739038,3700.0
1923-04-16,8.38476,50.712837,6940.0
1923-05-16,12.140376,91.614975,13100.0
1923-06-16,14.590641,127.127266,18600.0
1923-07-16,16.73075,167.21364,40400.0
1923-08-16,16.81337,128.09732,21900.0
1923-09-16,13.431284,116.6353,24500.0
1923-10-16,8.728342,52.454544,15100.0
1923-11-16,3.814706,15.274065,8200.0
1923-12-16,-0.6751337,10.535829,4890.0
1924-01-16,-1.601337,8.638235,3870.0
1924-02-15,-0.45989305,10.074598,3480.0
1924-03-16,3.4855614,21.140375,3440.0
1924-04-16,8.787434,58.98075,5720.0
1924-05-16,12.075669,82.510704,11300.0
1924-06-16,14.992514,158.76578,16500.0
1924-07-16,16.575401,194.85962,32400.0
1924-08-16,16.67032,131.30562,32800.0
1924-09-16,13.589038,97.07219,21500.0
1924-10-16,8.815508,59.940376,17700.0
1924-11-16,3.05615,13.72968,7900.0
1924-12-16,-0.46363622,5.678609,4950.0
1925-01-16,-3.5235293,14.288236,4200.0
1925-02-15,-1.551604,15.472995,3970.0
1925-03-16,3.8802137,28.943584,4820.0
1925-04-16,7.044386,49.690914,5640.0
1925-05-16,11.779411,69.82166,12800.0
1925-06-16,15.329412,147.33717,14900.0
1925-07-16,17.23182,142.27701,22500.0
1925-08-16,16.35321,164.59117,28400.0
1925-09-16,13.3299465,126.35802,30700.0
1925-10-16,8.545722,73.16177,21700.0
1925-11-16,3.5671124,28.280216,14200.0
1925-12-16,-1.0708556,7.7339573,6440.0
1926-01-16,-1.3286098,9.681551,4710.0
1926-02-15,-0.3609627,15.169786,4360.0
1926-03-16,3.4810162,34.14278,5010.0
1926-04-16,8.059894,47.38583,7450.0
1926-05-16,12.685026,94.45802,13000.0
1926-06-16,14.508021,130.56631,23000.0
1926-07-16,16.619518,162.62193,38600.0
1926-08-16,17.190643,155.2615,39200.0
1926-09-16,14.16337,103.95027,18100.0
1926-10-16,8.871924,63.379147,20900.0
1926-11-16,3.1347594,26.37326,9880.0
1926-12-16,-0.9695189,10.57032,7010.0
1927-01-16,-1.8770053,8.973529,4680.0
1927-02-15,-1.1582886,13.38075,4090.0
1927-03-16,2.985294,25.800535,4280.0
1927-04-16,7.593583,62.993317,8850.0
1927-05-16,12.021392,77.737434,11900.0
1927-06-16,15.435295,152.90054,24200.0
1927-07-16,17.550268,143.45027,28700.0
1927-08-16,16.774868,122.42781,21700.0
1927-09-16,13.555615,128.16551,20200.0
1927-10-16,9.194118,54.67754,17200.0
1927-11-16,3.4419792,22.65107,8720.0
1927-12-16,-0.044919673,12.282888,5400.0
1928-01-16,-1.5751337,8.793049,3700.0
1928-02-15,0.21951862,15.9446535,3440.0
1928-03-16,4.8885026,25.938238,4170.0
1928-04-16,9.3,46.02941,4850.0
1928-05-16,12.598396,88.41284,8640.0
1928-06-16,14.519518,133.34119,17800.0
1928-07-16,17.59091,158.12273,18300.0
1928-08-16,16.43797,166.53288,35100.0
1928-09-16,13.827807,118.410164,21200.0
1928-10-16,8.007219,65.98503,19200.0
1928-11-16,2.5879679,14.036632,10100.0
1928-12-16,-0.9050803,7.6639037,5550.0
1929-01-16,-2.1588235,9.949197,4250.0
1929-02-15,-0.58877015,7.8481283,3880.0
1929-03-16,4.113369,19.291443,3630.0
1929-04-16,7.9930487,50.36043,5190.0
1929-05-16,12.291445,97.31552,10300.0
1929-06-16,15.331016,154.45882,20000.0
1929-07-16,17.066309,162.3722,26200.0
1929-08-16,17.03583,103.61417,19200.0
1929-09-16,13.3759365,126.472466,25100.0
1929-10-16,8.522192,58.67407,17100.0
1929-11-16,2.4885025,18.844921,10300.0
1929-12-16,-1.2989306,7.4499993,5800.0
1930-01-16,-4.12861,7.7296796,4390.0
1930-02-15,0.30962572,7.655348,4370.0
1930-03-16,3.0470583,41.52781,5460.0
1930-04-16,8.496792,51.80749,8790.0
1930-05-16,12.456416,64.65375,9960.0
1930-06-16,14.652942,139.58156,22900.0
1930-07-16,18.081818,93.17433,18200.0
1930-08-16,16.736095,140.84999,21100.0
1930-09-16,13.20321,131.90321,31500.0
1930-10-16,8.100802,54.17941,18800.0
1930-11-16,3.1302137,26.26417,10400.0
1930-12-16,-0.58636343,5.937433,6470.0
1931-01-16,-1.9318185,3.7708557,4120.0
1931-02-15,-0.46925133,10.930214,3590.0
1931-03-16,4.2435827,20.633692,3980.0
1931-04-16,9.024331,56.890373,4760.0
1931-05-16,12.425134,82.4861,13400.0
1931-06-16,15.21016,124.07513,18700.0
1931-07-16,16.419252,163.6738,32100.0
1931-08-16,17.300535,145.67969,37700.0
1931-09-16,13.010428,133.56712,27700.0
1931-10-16,8.789305,48.058556,20300.0
1931-11-16,3.1786098,22.149466,9680.0
1931-12-16,-0.73582894,9.892246,5960.0
1932-01-16,-1.819519,7.2713904,4250.0
1932-02-15,-1.976738,17.805614,4550.0
1932-03-16,3.7229948,32.37567,4530.0
1932-04-16,8.559893,42.77674,5320.0
1932-05-16,12.799199,85.58263,11400.0
1932-06-16,15.203209,159.71526,16800.0
1932-07-16,17.416576,149.62247,26200.0
1932-08-16,16.971123,158.83797,25300.0
1932-09-16,13.183155,148.57486,34100.0
1932-10-16,8.406685,73.890915,22700.0
1932-11-16,3.6959898,21.535295,11700.0
1932-12-16,-1.1141714,8.59492,6040.0
1933-01-16,-3.6288772,7.6080213,4420.0
1933-02-15,0.35882348,9.164973,4100.0
1933-03-16,4.277807,17.517113,3920.0
1933-04-16,8.591177,30.40107,5160.0
1933-05-16,12.231819,116.54947,13600.0
1933-06-16,15.416043,145.79893,28000.0
1933-07-16,17.341713,135.63182,28000.0
1933-08-16,17.544653,113.51044,18500.0
1933-09-16,14.410428,115.79011,15400.0
1933-10-16,8.453477,96.17085,24800.0
1933-11-16,3.2521386,21.880749,10900.0
1933-12-16,0.2090909,12.813102,6640.0
1934-01-16,-3.5350268,12.908022,4440.0
1934-02-15,0.04946512,16.368448,3980.0
